id,title,artist,album,genre,danceability,energy,valence,acousticness,tempo_bpm,mood
1LxpfJKJuEqAA6vhzaQOKS,Tere Pyar Ko Salam O Sanam - Jhankar Beats,Alka Yagnik,Gumraah - Jhankar Beats,k-pop,0.505,0.87,0.445,0.512,112.102,chill
4CyVr80Xs1y26QtN7IImuc,Chillout,Meeresrauschen,"Meeresrauschen zur Entspannung, für Meditation, Yoga und Wellness",sleep,0.197,0.998,1e-05,0.366,107.373,intense
2uS2q42YqnsS3DUi4WuujW,To Be Continued..,Raimu,The Spirit Within,anime,0.539,0.26,0.104,0.873,119.011,sad
5bFhLxqmSghToSzZGMeh1I,Agate,Astrix;Ritmo,He.art,trance,0.621,0.885,0.127,0.00159,137.966,intense
3xshQaCOlSCIkXuXDQS1S6,The Special Two - triple j Like A Version,Dear Seattle,The Special Two (triple j Like A Version),garage,0.254,0.898,0.567,0.000134,168.88,chill
2p9OhUXRl2hACpmw9M9JvO,Meet La Familia,Germaine Franco,Encanto (Original Motion Picture Soundtrack),disney,0.808,0.316,0.315,0.434,96.393,sad
0JS0AEmlz20lugs6G10mYy,From the Hard - Original Mix,D-Block & S-te-Fan,D-Block & S-te-Fan - From The Hard EP,hardstyle,0.441,0.899,0.275,0.287,149.965,intense
5fZE0TVp6FFesXodTd8Uvx,Wrecking Ball (Glee Cast Version),Glee Cast,Wrecking Ball (Glee Cast Version),club,0.579,0.373,0.387,0.44,119.954,sad
76eCC3r9jrVDsQnfAqQNH4,Inthalo Ennenni Vinthalo Male,Naresh Iyer,Karthikeya,pop-film,0.645,0.674,0.503,0.408,140.003,chill
6JymsaWDHk2Yj4e0yNBIFH,Jump Around,House Of Pain,House of Pain (Fine Malt Lyrics),hard-rock,0.854,0.71,0.818,0.0113,106.893,happy
27XJv9grlenIhZEPpDdnIY,X ÚLTIMA VEZ,Daddy Yankee;Bad Bunny,Esto me suena a Farra,hip-hop,0.812,0.855,0.573,0.0789,90.04,chill
6s1AU3GCP1FWWtmADl4B2P,Midnight River,Pink Sweat$;6LACK,20's R'n'B,soul,0.497,0.351,0.234,0.777,171.719,sad
6ElJ54n49iDJh8WmAAXx2r,Eternal,Abbath,Abbath,black-metal,0.467,0.969,0.247,2.67e-06,109.0,intense
1iwgk7hPJ8zRluVwXxN0j9,Balboa,RK,Balboa,french,0.785,0.662,0.483,0.222,146.101,chill
33DzKnwuBE6lfOiADwzd5E,TOOTIMETOOTIMETOOTIME,The 1975,A Brief Inquiry Into Online Relationships,alt-rock,0.667,0.824,0.518,0.177,114.998,chill
